火警类型,纬度,经度,聚类簇
居民,31.205227,121.525958,2
杂物,31.049175,121.775558,1
居民,31.12161,121.561418,2
地下空间,30.922929,121.918966,3
居民,31.170899,121.554118,2
杂物,30.967904,121.881378,3
杂物,31.207135,121.693661,0
杂物,31.373547,121.510717,0
居民,31.029566,121.742793,1
居民,31.19942,121.610543,0
居民,31.201341,121.633158,0
杂物,31.115828,121.770434,1
居民,31.050964,121.761584,1
居民,31.180932,121.560472,2
杂物,31.207135,121.693661,0
杂物,31.262432,121.688592,0
居民,31.261154,121.602596,0
杂物,31.230679,121.503197,2
,31.095787,121.619943,2
居民,31.207009,121.548805,2
居民,31.05134,121.766761,1
单位,30.926595,121.866724,3
杂物,31.106707,121.76427,1
杂物,31.207395,121.653873,0
居民,31.125083,121.583207,2
居民,31.056621,121.687623,1
居民,31.120135,121.565239,2
居民,31.069598,121.720991,1
居民,31.182586,121.496995,2
杂物,31.207135,121.693661,0
居民,31.352129,121.580609,0
杂物,31.235277,121.680476,0
居民,31.263707,121.687578,0
杂物,31.041507,121.763178,1
垃圾,31.314207,121.584691,0
居民,31.034416,121.695938,1
杂物,31.052612,121.563182,2
居民,31.116338,121.76527,1
居民,31.185595,121.542044,2
居民,31.245456,121.558747,0
杂物,31.306607,121.587767,0
居民,31.359822,121.534419,0
居民,31.311564,121.584688,0
杂物,31.207135,121.693661,0
杂物,31.207135,121.693661,0
杂物,31.092174,121.588093,2
杂物,31.151299,121.713052,1
车辆,31.236748,121.501773,2
居民,31.109355,121.713066,1
居民,31.142886,121.58853,2
居民,31.183824,121.55739,2
杂物,31.098602,121.589947,2
电线,31.207135,121.693661,0
居民,31.156458,121.75253,1
居民,31.244472,121.677613,0
杂物,31.135172,121.567649,2
杂物,31.292897,121.627405,0
居民,31.261878,121.583388,0
杂物,31.125417,121.739436,1
杂物,31.271344,121.650615,0
杂物,30.914347,121.891557,3
杂物,31.06395,121.725832,1
杂物,30.894318,121.898435,3
杂物,31.157021,121.516814,2
居民,31.061313,121.741339,1
居民,31.125052,121.499461,2
居民,31.222329,121.659693,0
杂物,31.333909,121.619187,0
杂物,30.901094,121.797247,3
杂物,31.089181,121.592656,2
杂物,31.292897,121.627405,0
杂物,31.074946,121.596065,2
杂物,31.174648,121.485495,2
居民,31.156458,121.75253,1
,31.207871,121.513163,2
杂物,31.180991,121.751734,1
杂物,31.207135,121.693661,0
居民,31.108825,121.583978,2
杂物,31.155776,121.731196,1
,30.907098,121.806127,3
杂物,30.883274,121.816014,3
杂物,31.016782,121.717914,1
居民,31.227561,121.53123,2
杂物,31.199684,121.520858,2
杂物,30.884705,121.862809,3
杂物,31.129482,121.601473,2
居民,31.121249,121.504351,2
杂物,31.10562,121.581358,2
杂物,31.187723,121.695847,0
居民,31.238934,121.649656,0
居民,31.171219,121.734276,1
杂物,31.142041,121.613735,2
杂物,31.195848,121.514545,2
杂物,31.155776,121.731196,1
居民,31.193761,121.764779,1
居民,31.130621,121.535119,2
居民,31.241986,121.499941,2
杂物,31.116329,121.546449,2
杂物,31.11267,121.645228,1
杂物,31.207135,121.693661,0
杂物,30.928449,121.864341,3
居民,31.060557,121.735912,1
居民,30.896349,121.832057,3
杂物,31.207135,121.693661,0
居民,31.069598,121.720991,1
杂物,31.022623,121.775526,1
杂物,31.207135,121.693661,0
杂物,31.265325,121.656479,0
居民,31.16768,121.546624,2
居民,31.170237,121.544147,2
居民,31.237064,121.514938,2
杂物,31.125831,121.588696,2
杂物,31.125409,121.642313,2
居民,31.124971,121.568086,2
居民,31.14771,121.513132,2
杂物,31.069598,121.720991,1
杂物,31.033702,121.593057,2
杂物,31.252385,121.56782,0
居民,31.263783,121.598251,0
居民,31.025744,121.577743,2
电线,31.051167,121.770704,1
杂物,31.194966,121.514968,2
电线,31.101361,121.599153,2
杂物,31.02508,121.735149,1
杂物,31.058429,121.64503,1
车辆,31.207135,121.693661,0
车辆（电瓶车）,31.225464,121.525221,2
杂物,31.155952,121.572167,2
单位,31.027627,121.608902,1
居民,31.178417,121.623158,0
电线,31.107822,121.563386,2
杂物,31.379424,121.543343,0
杂物,31.207135,121.693661,0
居民,30.977195,121.864021,3
杂物,31.032274,121.735015,1
杂物,30.972608,121.910479,3
居民,31.115839,121.549948,2
居民,31.223594,121.521734,2
电线,31.034361,121.602098,2
居民,30.902539,121.829138,3
杂物,30.936708,121.93221,3
单位,31.027905,121.603075,2
单位,31.061831,121.87069,1
居民,31.073332,121.59705,2
单位,31.141762,121.509087,2
居民,31.207135,121.693661,0
居民,31.020797,121.641736,1
居民,31.278652,121.593647,0
杂物,31.102658,121.761776,1
车辆（电瓶车）,31.176546,121.62582,0
居民,31.223755,121.5238,2
杂物,31.115317,121.54789,2
居民,31.265952,121.590493,0
车辆,31.164874,121.498487,2
工程工地,31.148571,121.576041,2
杂物,31.065745,121.736364,1
杂物,31.103395,121.612326,2
杂物,31.207135,121.693661,0
居民,31.191545,121.69285,0
杂物,31.207135,121.693661,0
杂物,31.196184,121.673226,0
杂物,31.275143,121.666037,0
杂物,31.243481,121.686437,0
杂物,30.874434,121.961537,3
杂物,31.098105,121.605707,2
居民,31.166539,121.540729,2
居民,31.164202,121.50495,2
单位,31.177134,121.634426,0
杂物,31.014054,121.641999,1
杂物,31.207135,121.693661,0
杂物,31.102499,121.739113,1
居民,31.134979,121.571332,2
居民,30.974848,121.754451,1
居民,31.285102,121.579925,0
车辆（电瓶车）,31.113433,121.567644,2
机动车,31.212537,121.556545,2
杂物,31.214472,121.656053,0
居民,31.057603,121.753008,1
